Op code,,Function,,,,,,,OP CODE,R[rd],R[rs],D/I/TRG,,Assembly Code,,Code,Parity,Data,,RAM Data Init,,RAM Parity Init
,,,,,,7F,>>,,,,,,,,,00000,0,0000,07,".INIT_07(256'h0000_0000_0000_0000_0000_0000_0000_0000_0000_0000_0000_0000_0000_0000_0000_0000),",00000000,".INITP_00(256'h00000000000000000000000000000000000000002000002A0000000000050400),"
,,,,,,80,>>,,,,,,,,,00000,,0000,,,,
,,,,,,81,>>,,,,,,,,,00000,0,0000,,,,
,,,,,,82,>>,,,,,,,,,00000,,0000,,,,
,,,,,,83,>>,,,,,,,,,00000,0,0000,,,,
,,,,,,84,>>,,,,,,,,,00000,,0000,,,,
,,,,,,85,>>,,,,,,,,,00000,0,0000,,,,
,,,,,,86,>>,,,,,,,,,00000,,0000,,,,
,,,,,,87,>>,,,,,,,,,00000,0,0000,,,,
,,,,,,88,>>,,,,,,,,,00000,,0000,,,,
,,,,,,89,>>,,,,,,,,,00000,0,0000,,,,
,,,,,,8A,>>,,,,,,,,,00000,,0000,,,,
,,,,,,8B,>>,,,,,,,,,00000,0,0000,,,,
,,,,,,8C,>>,,,,,,,,,00000,,0000,,,,
,,,,,,8D,>>,,,,,,,,,00000,0,0000,,,,
,,,,,,8E,>>,,,,,,,,,00000,,0000,,,,
,,,,,,8F,>>,,,,,,,,,00000,0,0000,08,".INIT_08(256'h0000_0000_0000_0000_0000_0000_0000_0000_0000_0000_0000_0000_0000_0000_0000_0000),",00000000,
,,,,,,90,>>,,,,,,,,,00000,,0000,,,,
,,,,,,91,>>,,,,,,,,,00000,0,0000,,,,
,,,,,,92,>>,,,,,,,,,00000,,0000,,,,
,,,,,,93,>>,,,,,,,,,00000,0,0000,,,,
,,,,,,94,>>,,,,,,,,,00000,,0000,,,,
,,,,,,95,>>,,,,,,,,,00000,0,0000,,,,
,,,,,,96,>>,,,,,,,,,00000,,0000,,,,
,,,,,,97,>>,,,,,,,,,00000,0,0000,,,,
,,,,,,98,>>,,,,,,,,,00000,,0000,,,,
,,,,,,99,>>,,,,,,,,,00000,0,0000,,,,
,,,,,,9A,>>,,,,,,,,,00000,,0000,,,,
,,,,,,9B,>>,,,,,,,,,00000,0,0000,,,,
,,,,,,9C,>>,,,,,,,,,00000,,0000,,,,
,,,,,,9D,>>,,,,,,,,,00000,0,0000,,,,
,,,,,,9E,>>,,,,,,,,,00000,,0000,,,,
,,,,,,9F,>>,,,,,,,,,00000,0,0000,09,".INIT_09(256'h0000_0000_0000_0000_0000_0000_0000_0000_0000_0000_0000_0000_0000_0000_0000_0000),",00000000,
,,,,,,A0,>>,,,,,,,,,00000,,0000,,,,
,,,,,,A1,>>,,,,,,,,,00000,0,0000,,,,
,,,,,,A2,>>,,,,,,,,,00000,,0000,,,,
,,,,,,A3,>>,,,,,,,,,00000,0,0000,,,,
,,,,,,A4,>>,,,,,,,,,00000,,0000,,,,
,,,,,,A5,>>,,,,,,,,,00000,0,0000,,,,
,,,,,,A6,>>,,,,,,,,,00000,,0000,,,,
,,,,,,A7,>>,,,,,,,,,00000,0,0000,,,,
,,,,,,A8,>>,,,,,,,,,00000,,0000,,,,
,,,,,,A9,>>,,,,,,,,,00000,0,0000,,,,
,,,,,,AA,>>,,,,,,,,,00000,,0000,,,,
,,,,,,AB,>>,,,,,,,,,00000,0,0000,,,,
,,,,,,AC,>>,,,,,,,,,00000,,0000,,,,
,,,,,,AD,>>,,,,,,,,,00000,0,0000,,,,
,,,,,,AE,>>,,,,,,,,,00000,,0000,,,,
,,,,,,AF,>>,,,,,,,,,00000,0,0000,0A,".INIT_0A(256'h0000_0000_0000_0000_0000_0000_0000_0000_0000_0000_0000_0000_0000_0000_0000_0000),",00000000,
,,,,,,B0,>>,,,,,,,,,00000,,0000,,,,
,,,,,,B1,>>,,,,,,,,,00000,0,0000,,,,
,,,,,,B2,>>,,,,,,,,,00000,,0000,,,,
,,,,,,B3,>>,,,,,,,,,00000,0,0000,,,,
,,,,,,B4,>>,,,,,,,,,00000,,0000,,,,
,,,,,,B5,>>,,,,,,,,,00000,0,0000,,,,
,,,,,,B6,>>,,,,,,,,,00000,,0000,,,,
,,,,,,B7,>>,,,,,,,,,00000,0,0000,,,,
,,,,,,B8,>>,,,,,,,,,00000,,0000,,,,
,,,,,,B9,>>,,,,,,,,,00000,0,0000,,,,
,,,,,,BA,>>,,,,,,,,,00000,,0000,,,,
,,,,,,BB,>>,,,,,,,,,00000,0,0000,,,,
,,,,,,BC,>>,,,,,,,,,00000,,0000,,,,
,,,,,,BD,>>,,,,,,,,,00000,0,0000,,,,
,,,,,,BE,>>,,,,,,,,,00000,,0000,,,,
,,,,,,BF,>>,,,,,,,,,00000,0,0000,0B,".INIT_0B(256'h0000_0000_0000_0000_0000_0000_0000_0000_0000_0000_0000_0000_0000_0000_0000_0000),",00000000,
,,,,,,C0,>>,,,,,,,,,00000,,0000,,,,
,,,,,,C1,>>,,,,,,,,,00000,0,0000,,,,
,,,,,,C2,>>,,,,,,,,,00000,,0000,,,,
,,,,,,C3,>>,,,,,,,,,00000,0,0000,,,,
,,,,,,C4,>>,,,,,,,,,00000,,0000,,,,
,,,,,,C5,>>,,,,,,,,,00000,0,0000,,,,
,,,,,,C6,>>,,,,,,,,,00000,,0000,,,,
,,,,,,C7,>>,,,,,,,,,00000,0,0000,,,,
,,,,,,C8,>>,,,,,,,,,00000,,0000,,,,
,,,,,,C9,>>,,,,,,,,,00000,0,0000,,,,
,,,,,,CA,>>,,,,,,,,,00000,,0000,,,,
,,,,,,CB,>>,,,,,,,,,00000,0,0000,,,,
,,,,,,CC,>>,,,,,,,,,00000,,0000,,,,
,,,,,,CD,>>,,,,,,,,,00000,0,0000,,,,
,,,,,,CE,>>,,,,,,,,,00000,,0000,,,,
,,,,,,CF,>>,,,,,,,,,00000,0,0000,0C,".INIT_0C(256'h0000_0000_0000_0000_0000_0000_0000_0000_0000_0000_0000_0000_0000_0000_0000_0000),",00000000,
,,,,,,D0,>>,,,,,,,,,00000,,0000,,,,
,,,,,,D1,>>,,,,,,,,,00000,0,0000,,,,
,,,,,,D2,>>,,,,,,,,,00000,,0000,,,,
,,,,,,D3,>>,,,,,,,,,00000,0,0000,,,,
,,,,,,D4,>>,,,,,,,,,00000,,0000,,,,
,,,,,,D5,>>,,,,,,,,,00000,0,0000,,,,
,,,,,,D6,>>,,,,,,,,,00000,,0000,,,,
,,,,,,D7,>>,,,,,,,,,00000,0,0000,,,,
,,,,,,D8,>>,,,,,,,,,00000,,0000,,,,
,,,,,,D9,>>,,,,,,,,,00000,0,0000,,,,
,,,,,,DA,>>,,,,,,,,,00000,,0000,,,,
,,,,,,DB,>>,,,,,,,,,00000,0,0000,,,,
,,,,,,DC,>>,,,,,,,,,00000,,0000,,,,
,,,,,,DD,>>,,,,,,,,,00000,0,0000,,,,
,,,,,,DE,>>,,,,,,,,,00000,,0000,,,,
,,,,,,DF,>>,,,,,,,,,00000,0,0000,0D,".INIT_0D(256'h0000_0000_0000_0000_0000_0000_0000_0000_0000_0000_0000_0000_0000_0000_0000_0000),",00000000,
,,,,,,E0,>>,,,,,,,,,00000,,0000,,,,
,,,,,,E1,>>,,,,,,,,,00000,0,0000,,,,
,,,,,,E2,>>,,,,,,,,,00000,,0000,,,,
,,,,,,E3,>>,,,,,,,,,00000,0,0000,,,,
,,,,,,E4,>>,,,,,,,,,00000,,0000,,,,
,,,,,,E5,>>,,,,,,,,,00000,0,0000,,,,
,,,,,,E6,>>,,,,,,,,,00000,,0000,,,,
,,,,,,E7,>>,,,,,,,,,00000,0,0000,,,,
,,,,,,E8,>>,,,,,,,,,00000,,0000,,,,
,,,,,,E9,>>,,,,,,,,,00000,0,0000,,,,
,,,,,,EA,>>,,,,,,,,,00000,,0000,,,,
,,,,,,EB,>>,,,,,,,,,00000,0,0000,,,,
,,,,,,EC,>>,,,,,,,,,00000,,0000,,,,
,,,,,,ED,>>,,,,,,,,,00000,0,0000,,,,
,,,,,,EE,>>,,,,,,,,,00000,,0000,,,,
,,,,,,EF,>>,,,,,,,,,00000,0,0000,0E,".INIT_0E(256'h0000_0000_0000_0000_0000_0000_0000_0000_0000_0000_0000_0000_0000_0000_0000_0000),",00000000,
,,,,,,F0,>>,,,,,,,,,00000,,0000,,,,
,,,,,,F1,>>,,,,,,,,,00000,0,0000,,,,
,,,,,,F2,>>,,,,,,,,,00000,,0000,,,,
,,,,,,F3,>>,,,,,,,,,00000,0,0000,,,,
,,,,,,F4,>>,,,,,,,,,00000,,0000,,,,
,,,,,,F5,>>,,,,,,,,,00000,0,0000,,,,
,,,,,,F6,>>,,,,,,,,,00000,,0000,,,,
,,,,,,F7,>>,,,,,,,,,00000,0,0000,,,,
,,,,,,F8,>>,,,,,,,,,00000,,0000,,,,
,,,,,,F9,>>,,,,,,,,,00000,0,0000,,,,
,,,,,,FA,>>,,,,,,,,,00000,,0000,,,,
,,,,,,FB,>>,,,,,,,,,00000,0,0000,,,,
,,,,,,FC,>>,,,,,,,,,00000,,0000,,,,
,,,,,,FD,>>,,,,,,,,,00000,0,0000,,,,
,,,,,,FE,>>,,,,,,,,,00000,,0000,,,,
,,,,,,FF,>>,,,,,,,,,00000,0,0000,0F,".INIT_0F(256'h0000_0000_0000_0000_0000_0000_0000_0000_0000_0000_0000_0000_0000_0000_0000_0000),",00000000,".INITP_01(256'h0000000000000000000000000000000000000000000000000000000000000000),"
